,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
38469,19788,Chang Ye-Na,F,26.0,172.0,61.0,South Korea-2,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,
38491,19795,Hassan Chani,M,28.0,170.0,60.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",
38497,19797,Natthanan Chankrajang,F,30.0,166.0,57.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,
38515,19809,Kamolwan Chanyim,F,20.0,175.0,65.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's One Person Dinghy,
38560,19835,Allysha Chapman,F,27.0,160.0,56.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
38568,19840,David Chapman,M,51.0,165.0,72.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
38632,19875,Germain Louis Marcel Chardin,M,33.0,195.0,90.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,
38667,19895,Karen Charles (Cope-),F,30.0,173.0,60.0,Costa Rica,CRC,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
38668,19896,Lus Enrique Charles,M,17.0,183.0,65.0,Dominican Republic,DOM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,
38680,19901,Tina Alexandria Charles,F,27.0,193.0,88.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
38700,19914,Cdric Charlier,M,28.0,181.0,81.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Silver
38723,19922,"Samantha ""Sam"" Charlton",F,24.0,174.0,66.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
38736,19929,Olfa Al-Charni,F,36.0,176.0,65.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",
38737,19929,Olfa Al-Charni,F,36.0,176.0,65.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
38765,19946,Andrew Charter,M,29.0,182.0,87.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
38804,19964,Chanice Chase-Taylor,F,22.0,173.0,61.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
38807,19967,Andreas Chasikos,M,32.0,175.0,70.0,Cyprus,CYP,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,
38857,19991,Chau Hoi Wah,F,30.0,165.0,61.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
38858,19992,Matthew Chau,M,21.0,185.0,77.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,
38916,20030,Johan Esteban Chaves Rubio,M,26.0,164.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",
38926,20039,Arturo Chvez Korfiatis,M,26.0,190.0,76.0,Peru,PER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,
38930,20043,Elisabeth Chvez Hernndez,F,25.0,192.0,81.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
38935,20048,Kevin Alejandro Chvez Banda,M,24.0,170.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,
38944,20057,Viviana Micaela Chvez,F,29.0,164.0,52.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
38950,20062,Shiv Sankar Prasad Chawrasia,M,38.0,165.0,67.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,
38964,20066,Viktoriya Vladimirovna Chayka,F,35.0,164.0,50.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",
38965,20066,Viktoriya Vladimirovna Chayka,F,35.0,164.0,50.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
38972,20073,Geoffrey Robin Cheah,M,25.0,188.0,70.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
38996,20080,Yuriy Volodymyrovych Cheban,M,30.0,185.0,93.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Gold
38998,20081,Radhouane Chebbi,M,30.0,184.0,125.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
38999,20082,Winny Chebet,F,25.0,152.0,48.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,
39002,20085,Artyom Nikolayevich Chebotaryov,M,27.0,184.0,75.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
39131,20120,Nihel Cheikh Rouhou,F,29.0,164.0,78.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,
39143,20126,Juliet Chekwel,F,26.0,,,Uganda,UGA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",
39144,20126,Juliet Chekwel,F,26.0,,,Uganda,UGA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",
39162,20133,Paul Kipkemboi Chelimo,M,25.0,175.0,57.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",Silver
39164,20135,Rose Chelimo,F,27.0,,,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
39189,20147,Lonah Korlima Chemtai,F,27.0,165.0,52.0,Israel,ISR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
39191,20149,Peruth Chemutai,F,17.0,,,Uganda,UGA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",
39192,20150,Chen Aisen,M,20.0,168.0,60.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Platform,Gold
39193,20150,Chen Aisen,M,20.0,168.0,60.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Gold
39206,20162,Chen Chieh,M,24.0,182.0,73.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,
39207,20163,Chen Chien-An,M,25.0,170.0,72.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
